Id,SalePrice
1461,114871.5
1462,150794.4
1463,174169.52
1464,180307.66
1465,186314.95
1466,186249.05
1467,166305.33
1468,176108.48
1469,183128.58
1470,113689.445
1471,164605.94
1472,89388.67
1473,94753.85
1474,149401.34
1475,128752.83
1476,443384.03
1477,278904.53
1478,322772.44
1479,328114.7
1480,476686.16
1481,334256.72
1482,246643.9
1483,182221.45
1484,182586.58
1485,164218.19
1486,203061.83
1487,392085.53
1488,251019.94
1489,209530.69
1490,209250.31
1491,176222.23
1492,90784.21
1493,171813.02
1494,286417.44
1495,263976.38
1496,234762.62
1497,187892.67
1498,150367.19
1499,150367.19
1500,146372.14
1501,171531.42
1502,152231.97
1503,336121.62
1504,216399.92
1505,220598.6
1506,191811.7
1507,242708.92
1508,169850.69
1509,175049.58
1510,154722.06
1511,157054.16
1512,168633.88
1513,163251.61
1514,142769.95
1515,180846.67
1516,152706.88
1517,149402.19
1518,134629.11
1519,207953.25
1520,134037.11
1521,141447.38
1522,175175.48
1523,121068.99
1524,107491.38
1525,122868.52
1526,128998.64
1527,102649.92
1528,124381.26
1529,146986.92
1530,156040.44
1531,97446.2
1532,90139.17
1533,131736.75
1534,123396.25
1535,145330.05
1536,111355.01
1537,88923.58
1538,160371.7
1539,169027.72
1540,114668.57
1541,149117.22
1542,147047.78
1543,251794.36
1544,91593.5
1545,86173.14
1546,103630.586
1547,126298.414
1548,121025.125
1549,109221.1
1550,134841.38
1551,111234.43
1552,121167.64
1553,134023.3
1554,97319.72
1555,164556.34
1556,113497.695
1557,126348.53
1558,102384.77
1559,75933.24
1560,144309.69
1561,144196.47
1562,118408.32
1563,119019.8
1564,155194.81
1565,149820.11
1566,190545.11
1567,65186.438
1568,224233.06
1569,84901.336
1570,119436.52
1571,120721.96
1572,148610.25
1573,216585.33
1574,159947.84
1575,205888.34
1576,191828.17
1577,206091.47
1578,134495.77
1579,148153.19
1580,198238.02
1581,159763.23
1582,123292.14
1583,299008.06
1584,250128.11
1585,139102.33
1586,58204.77
1587,109056.44
1588,147040.62
1589,112767.27
1590,138652.81
1591,102736.305
1592,128547.32
1593,103703.945
1594,104958.7
1595,114357.984
1596,250045.6
1597,177363.67
1598,179917.9
1599,123479.83
1600,151797.2
1601,57578.04
1602,111127.555
1603,82858.78
1604,275622.84
1605,207970.11
1606,165647.95
1607,171845.12
1608,196036.31
1609,209992.19
1610,178422.8
1611,148174.8
1612,186582.38
1613,156010.83
1614,116174.81
1615,80081.266
1616,80081.266
1617,81673.97
1618,124004.97
1619,134992.56
1620,192150.4
1621,143806.31
1622,133772.0
1623,266697.6
1624,204167.11
1625,105505.84
1626,170243.14
1627,182048.27
1628,259655.89
1629,171273.47
1630,313905.72
1631,211031.92
1632,267212.62
1633,154766.92
1634,186643.25
1635,177011.17
1636,171346.02
1637,189151.38
1638,203151.31
1639,172969.6
1640,264071.3
1641,193120.4
1642,229231.42
1643,236775.89
1644,205353.98
1645,156255.62
1646,164352.61
1647,143463.03
1648,155262.47
1649,133580.9
1650,121178.62
1651,121384.15
1652,92078.086
1653,92421.55
1654,155071.28
1655,138894.88
1656,148463.22
1657,156676.11
1658,152228.34
1659,128106.87
1660,138932.23
1661,526179.7
1662,392416.22
1663,388898.9
1664,472030.25
1665,370173.03
1666,299898.5
1667,321772.66
1668,370835.56
1669,312098.6
1670,384005.72
1671,248861.81
1672,409480.12
1673,321016.8
1674,264804.94
1675,192813.45
1676,192856.3
1677,227459.02
1678,407781.8
1679,396353.72
1680,350488.84
1681,366068.4
1682,292702.8
1683,176384.14
1684,181356.52
1685,174480.89
1686,184596.55
1687,164218.19
1688,193868.86
1689,186393.16
1690,186584.34
1691,162975.81
1692,253930.19
1693,164218.19
1694,175958.58
1695,170495.3
1696,248792.28
1697,174692.84
1698,362145.7
1699,346085.53
1700,269232.66
1701,276984.9
1702,257250.75
1703,280150.22
1704,268710.16
1705,249290.33
1706,429794.2
1707,229839.75
1708,192607.8
1709,275580.28
1710,225588.44
1711,228532.48
1712,225949.72
1713,258735.36
1714,208663.45
1715,189767.14
1716,183643.45
1717,173868.47
1718,118405.95
1719,184081.11
1720,234363.55
1721,174683.36
1722,114865.14
1723,155986.73
1724,213599.53
1725,223647.89
1726,188693.2
1727,168022.27
1728,182479.88
1729,145761.31
1730,126019.766
